DEGREE,DEGREE_DESCRIPTION
7.8.1.2,Pharmaceutical Engineering
7.1.2.2,Water Quality Control
7.2.2.2,Coastal Decay
4.3.2.2,Animal Physiology
4.4.2.2,Equine stud
8.4.2.2,Dying & Colouring of Textiles
9.4.2.2,Rural Planning
3.5.2.2,Veterinary Microbiology
5.5.2.2,Planetary Science
7.5.2.2,Surface Freight Ship Design
8.5.2.2,Photo-Lithography
6.6.2.2,Object Oriented Programming
2.8.2.2,"Radiography, therapeutic"
2.1.3.2,Pathobiology
7.2.3.2,Pavement Engineering
5.3.3.2,Marine Physics
7.3.3.2,Rail Vehicle Engineering
3.4.3.2,Veterinary Genetics
4.4.3.2,Freshwater Fish
4.6.3.2,Food & Beverage Processing
7.6.3.2,Electrical Power Distribution
5.8.3.2,Remote Sensing
3.1.4.2,Reproductive Biology
7.1.4.2,Solid Mechanics
7.2.4.2,Engineering Surveying
2.3.4.2,Herbalism
5.3.4.2,Quantum Mechanics
7.3.4.2,Vibration
4.4.4.2,Gamekeeping Management
8.4.4.2,Commercial Tailoring
4.6.4.2,Food & Beverage Delivery
5.6.4.2,Geoscience
7.6.4.2,Broadcast Engineering
3.7.4.2,Veterinary Biochemistry
8.9.4.2,Industrial Machinery Maintenance
7.6.5.2,Analogue Circuit Engineering
5.8.5.2,Hydrology
3.1.6.2,Freshwater Biology
5.1.6.2,Polymer Chemistry
4.4.6.2,Organic Livestock
7.6.6.2,Control by light systems
4.4.7.2,Agricultural Irrigation & Drainage
7.6.7.2,Cybernetics
3.1.8.2,Evolution
13.3.02,Radio stud
4.4.1.3,Crop Nutrition
7.4.1.3,Air-Combat Engineering
4.5.1.3,Tree Nutrition
7.5.1.3,Surface Combat Ship Building
8.5.1.3,Furniture Technology
4.6.1.3,Vegetable Science
8.6.1.3,Marine Radio
2.7.1.3,School Nursing
7.7.1.3,Production Processes
7.1.2.3,Public Health Engineering
7.2.2.3,Environmental Impact Assessment
4.3.2.3,Animal Pathology
4.4.2.3,Poultry keeping
7.5.2.3,Surface Combat Ship Design
8.5.2.3,Reprographic Techniques
6.6.2.3,Declarative Programming
7.3.3.3,Ship Propulsion Engineering
4.4.3.3,Saltwater Fish
4.6.3.3,Food & Beverage Technology
7.1.4.3,Structural Mechanics
2.3.4.3,Acupuncture
5.3.4.3,Computational Physics
4.4.4.3,Water Resource Management
8.4.4.3,Pattern Cutting
5.6.4.3,Quaternary stud
7.6.4.3,Satellite Engineering
5.8.5.3,Pollution Control
5.1.6.3,Bio-organic Chemistry
4.4.6.3,Organic Fish Farming
7.6.7.3,Bioengineering
13.3.03,Film stud
4.4.1.4,Crop Protection
4.5.1.4,Tree Protection
7.5.1.4,Submarine Building
4.6.1.4,Fruit Science
8.6.1.4,Marine Plumbing
2.7.1.4,Practice Nursing
7.7.1.4,Manufacturing Systems Maintenance
4.3.2.4,Animal Pharmacology
4.4.2.4,Game keeping
7.5.2.4,Submarine Design
8.5.2.4,Screen Process Printing
4.4.3.4,Ornamental Fish
4.6.3.4,Industrial Baking
2.3.4.4,Aromatherapy
4.4.4.4,L& Management for Recreation
8.4.4.4,Millinery
7.6.4.4,Microwave Engineering
5.1.6.4,Petrochemical Chemistry
7.6.7.4,Virtual Reality Engineering
13.3.04,Electronic Media stud
4.4.1.5,Crop Production
4.5.1.5,Tree Production
4.3.2.5,Animal Toxicology
4.4.2.5,Exotic Livestock
4.4.3.5,Aquaculture
4.6.3.5,Industrial Brewing
2.3.4.5,Hypnotherapy
4.4.4.5,Heritage Management
8.4.4.5,Footwear production
5.1.6.5,Biomolecular Chemistry
13.3.05,Paper-based Media stud
17.6.45,Comparative religious texts
4.4.1.6,Glasshouse Culture
4.5.1.6,Timber Production
4.3.2.6,Animal Pharmacy
2.3.4.6,Reflexology
4.4.4.6,Wilderness Management
4.4.1.7,Amenity Plant Production
4.5.1.7,Community Forestry
4.3.2.7,Animal Nutrition
4.4.4.7,Environmental Conservation
4.4.1.8,Exotic Plants & Crops
4.3.2.8,Animal Welfare
10.1.1.1,Financial Economics
11.1.1.1,English Law
10.2.1.1,Liberalism
11.2.1.1,Criminal Law
12.2.1.1,Strategic Management
17.2.1.1,Irish History
18.2.1.1,Typography
13.3.1.1,Television Studies
12.4.1.1,Cost & Management Accountancy
13.4.1.1,Publishing on audiovideo tape
14.4.1.1,Coptic
15.4.1.1,Spanish Lang in other countries
15.5.1.1,Portuguese Lang in other countries
17.5.1.1,Epistemology
12.6.1.1,Industrial Relations
14.6.1.1,Church Latin
15.6.1.1,Swedish Language
18.6.1.1,Directing Motion Pictures
10.7.1.1,Human & Social Geog of Europe
14.7.1.1,Classical Church Greek
15.7.1.1,Russian Language
16.7.1.1,Latin Amer Language stud
18.7.1.1,Needlecraft
15.9.1.1,Dutch
13.1.2.1,Library stud
19.1.2.1,Training teach - Infant (key stage 1)
10.2.2.1,Autocracy
11.2.2.1,Business & Commercial Law
12.2.2.1,Hotel & Catering
17.2.2.1,French History
10.3.2.1,Womens stud
12.3.2.1,Investment
13.3.2.1,Television Production
14.3.2.1,English Literature by period
17.3.2.1,Local History
12.4.2.1,Auditing of Accounts
14.5.2.1,Goidelic group of Lang
15.6.2.1,Swedish Literature
17.6.2.1,Christian stud
10.7.2.1,Economic Geog
12.7.2.1,Audio Typing
15.7.2.1,Russian Literature
16.7.2.1,Latin Amer Literature stud
18.7.2.1,SilversmithingGoldsmithing
13.1.3.1,Museum stud
14.1.3.1,Phonetics
19.1.3.1,Training teach - (key stage 3)
10.2.3.1,Public Administration
12.2.3.1,L& Management
17.2.3.1,Canadian History
18.2.3.1,Textile Design
10.4.3.1,Health Policy
14.5.3.1,Scot Gaelic Literature
15.6.3.1,Swedish Society & Culture
18.6.3.1,History of Cinematics
15.7.3.1,Russian Society & Culture
16.7.3.1,Latin Amer Soc & Culture stud
18.7.3.1,CarpentryJoinery
17.1.4.1,Modern History 1500-1599
19.1.4.1,Training teach - Further Educ
10.2.4.1,European Union Politics
17.2.4.1,Chinese History
12.3.4.1,Financial Risk
19.3.4.1,Academic stud in Further Educ
14.5.4.1,Irish Gaelic Literature
17.6.4.1,The Bible & Christian texts
19.1.5.1,Training teach - Coaching
10.2.5.1,Strategic stud
17.2.5.1,North Afr History
18.4.5.1,Theatrical Wardrobe Design
14.5.5.1,Manx Literature
18.7.5.1,Pottery
12.8.5.1,L& Travel
19.1.6.1,Training teach - Special Needs
17.2.6.1,Australian History
18.4.6.1,Stage Design
12.5.6.1,Advertising
14.5.6.1,Welsh Literature
18.7.6.1,Basketry
10.1.7.1,Capitalism
14.1.7.1,French Linguistics
17.2.7.1,International History
10.3.7.1,Social Hierarchy
14.5.7.1,Cornish Literature
18.7.7.1,Glassblowing
14.1.8.1,Chinese Linguistics
17.3.8.1,History of Physics
14.5.8.1,Breton Literature
18.7.8.1,Bookbinding
10.3.9.1,Sociology of Science & Technology
17.3.9.1,Military History
10.1.1.2,Agricultural Economics
11.1.1.2,Welsh Law
10.2.1.2,Conservatism
12.2.1.2,Creative Management
17.2.1.2,Scot History
18.2.1.2,Multimedia Design
13.3.1.2,Radio Studies
12.4.1.2,Public Accountancy
13.4.1.2,Publishing on CD-ROM
12.6.1.2,Staff Development
14.6.1.2,Medieval Latin
15.6.1.2,Norwegian Language
18.6.1.2,Producing Motion Pictures
10.7.1.2,Human & Social Geog of Asia
14.7.1.2,Late Greek
15.7.1.2,Polish Language
18.7.1.2,Dressmaking
15.9.1.2,Flemish
19.1.2.2,Training teach - Junior (key stage 2)
10.2.2.2,Democracy
11.2.2.2,Contract Law
12.2.2.2,RecreationLeisure Management
17.2.2.2,German History
10.3.2.2,Mens stud
12.3.2.2,Insurance
13.3.2.2,Radio Production
14.3.2.2,English Literature by author
17.3.2.2,Oral History
12.4.2.2,Financial Reporting
14.5.2.2,Brythonic group of Lang
15.6.2.2,Norwegian Literature
17.6.2.2,Islamic stud
10.7.2.2,Urban Geog
12.7.2.2,Shorth& & Shorth& Transcription
15.7.2.2,Polish Literature
18.7.2.2,Blacksmithing
13.1.3.2,Archive stud
14.1.3.2,Phonology
19.1.3.2,Training teach - (key stage 4)
10.2.3.2,UK Constitutional stud
12.2.3.2,Property Management
17.2.3.2,USA History
10.4.3.2,Welfare Policy
15.6.3.2,Norwegian Society & Culture
18.6.3.2,History of Photography
15.7.3.2,Polish Society & Culture
18.7.3.2,Cabinet making
17.1.4.2,Modern History 1600-1699
19.1.4.2,Training teach - Higher Educ
10.2.4.2,Commonwealth Politics
17.2.4.2,Indian History
19.3.4.2,Academic stud in Higher Educ
17.6.4.2,The Quran & Islamic texts
10.2.5.2,War & Peace stud
17.2.5.2,Central Afr History
18.4.5.2,Theatrical Make-up
18.7.5.2,Tile Making
12.8.5.2,Sea Travel
19.1.6.2,Teaching Eng as a Foreign Lang (TEFL)
17.2.6.2,New Zeal& History
12.5.6.2,Corporate Image
18.7.6.2,Thatching
10.1.7.2,Monetarism
14.1.7.2,German Linguistics
14.1.8.2,Japanese Linguistics
17.3.8.2,History of Chemistry
18.7.8.2,Origami
10.1.1.3,Economic Policy
11.1.1.3,Northern Irish Law
10.2.1.3,Socialism
12.2.1.3,Project Management
17.2.1.3,Welsh History
18.2.1.3,Visual Communication
13.3.1.3,Film Studies
12.4.1.3,Book-keeping
13.4.1.3,Publishing via the World Wide Web
12.6.1.3,Training Methods
15.6.1.3,Finnish Language
18.6.1.3,Film & Sound Recording
10.7.1.3,Human & Social Geog of Africa
15.7.1.3,Czech Language
18.7.1.3,Soft Furnishing
10.2.2.3,Plutocracy
11.2.2.3,Property Law
12.2.2.3,Domestic Management
17.2.2.3,Italian History
12.3.2.3,Actuarial Science
13.3.2.3,Film Production
14.3.2.3,English Literature by topic
17.3.2.3,Family History
15.6.2.3,Finnish Literature
17.6.2.3,Judaism
10.7.2.3,Political Geog
15.7.2.3,Czech Literature
18.7.2.3,ClockWatchmaking
17.2.3.3,South Amer History
10.4.3.3,Educ Policy
15.6.3.3,Finnish Society & Culture
15.7.3.3,Czech Society & Culture
18.7.3.3,Marquetry & Inlaying
17.1.4.3,Modern History 1700-1799
10.2.4.3,Politics of a specific countryregion
17.2.4.3,South East Asian History
17.6.4.3,The Torah & Judaic texts
17.2.5.3,Southern Afr History
18.7.5.3,Stone Crafts
12.8.5.3,Air Travel
12.5.6.3,Sponsorship
10.1.7.3,Keynesianism
14.1.7.3,Italian Linguistics
14.1.8.3,Linguistics of Other Asian Lang
17.3.8.3,History of Mathematics
11.1.1.4,Scot Law
10.2.1.4,Nationalism
12.2.1.4,Change Management
17.2.1.4,English History
13.3.1.4,Electronic Media Studies
12.6.1.4,Recruitment Methods
15.6.1.4,Danish Language
18.6.1.4,Visual & Audio Effects
10.7.1.4,Human & Social Geog of Australasia
18.7.1.4,Weaving
10.2.2.4,Oligarchy
11.2.2.4,Torts
12.2.2.4,Management & Organisation of Educ
17.2.2.4,Iberian History
15.6.2.4,Danish Literature
17.6.2.4,Hinduism
10.7.2.4,Transport Geog
12.2.3.4,Valuation & Auctioneering
17.2.3.4,Central Amer History
10.4.3.4,Transport Policy
15.6.3.4,Danish Society & Culture
18.7.3.4,Veneering
17.1.4.4,Modern History 1800-1899
10.2.4.4,International Constitutional stud
17.6.4.4,Asian religious texts
17.2.5.4,East Afr History
10.1.7.4,Collectivism
14.1.7.4,Spanish Linguistics
14.1.8.4,Linguistics of Middle-Eastern Lang
10.2.1.5,Fascism
12.2.1.5,Organisational Development
13.3.1.5,Paper based Media Studies
18.6.1.5,Animation Techniques
10.7.1.5,Human & Social Geog of the Americas
18.7.1.5,Leatherwork
17.2.2.5,Russian History
17.6.2.5,Buddhism
10.7.2.5,Historical Geog
10.4.3.5,Security Policy
17.1.4.5,Modern History 1900-1919
17.2.5.5,West Afr History
14.1.7.5,Russian Linguistics
14.1.8.5,Linguistics of Afr Lang
10.2.1.6,Feminism
10.7.1.6,Human & Soc Geog of ArcticAntarctic
17.6.2.6,Other Asian Religious stud
10.7.2.6,Cultural Geog
17.1.4.6,Modern History 1920-1949
14.1.7.6,Linguistics of Sc&inavian Lang
10.2.1.7,Environmentalism
17.6.2.7,Comparative Religious stud
10.7.2.7,Agricultural Geog
17.1.4.7,Modern History 1950-1999
14.1.7.7,Ling of Slavonic & East-European Lang
10.2.1.8,Anarchism
17.1.4.8,Modern History 2000-2099
14.1.7.8,Ling of Ancient & Classical Lang
