DEGREE,DEGREE_DESCRIPTION
15.1.3,Other/General Chinese Studies
15.2,Japanese Languages. Literature & Culture
15.2.1,Japanese Studies
15.2.2,Japanese Language
15.2.3,Other/General Japanese Studies n.e.c
15.3,Other Asian Languages. Literature & Culture
15.3.1,South-East Asian Studies
15.3.10,Urdu
15.3.11,Malay
15.3.12,Indonesian
15.3.13,Burmese
15.3.14,Thai
15.3.15,Sinhalese
15.3.16,Vietnamese
15.3.17,Marathi
15.3.18,Tibetan
15.3.19,Other/General Asian studies n.e.c
15.3.2,Panjabi
15.3.3,Hindi
15.3.4,Korean
15.3.5,Oriya
15.3.6,Tamil
15.3.7,Bengali
15.3.8,Nepali
15.3.9,Gujarati
15.4,Modern Middle Eastern Languages. Literature & Culture
15.4.1,Middle-Eastern Studies
15.4.2,Islamic (Modern)
15.4.3,Arabic
15.4.4,Modern Hebrew
15.4.5,Persian
15.4.6,Semitic Studies
15.4.7,Turkish
15.4.8,Other/General Modern Middle Eastern studies n.e.c
15.5,African Languages. Literature & Culture
15.5.1,Amharic
15.5.2,Bantu
15.5.3,Hausa
15.5.4,Swahili
15.5.5,Berber
15.5.6,Egyptian
15.5.7,Other/General African studies
15.6,Other Language Studies
15.6.1,Languages for Business Purposes
15.6.2,Languages and Literature in Education
15.6.3,Linguists in Commerce
15.6.4,Multi-Lingual Secretaries
15.6.5,Other/General Language studies n.e.c
15.7,Other or unspecified Modern Languages
15.7.1,Modern Languages
15.7.2,Conference Interpretation
15.7.3,Translators
15.7.4,Caribbean Studies
16,Humanities
16.1,History
16.1.1,Local History English
16.1.10,European History
16.1.11,Medieval Studies
16.1.12,History of Geographical Ideas
16.1.13,Church History
16.1.14,Byzantine History
16.1.15,Intellectual History
16.1.16,History of Ideas
16.1.17,Other/General History n.e.c
16.1.2,Regional History
16.1.3,Ancient History
16.1.4,Victorian Studies
16.1.5,Modern History
16.1.6,Welsh History
16.1.7,Jewish History
16.1.8,Scottish History
16.1.9,English History
16.2,Economic and Social History
16.2.1,Economic History
